Ciudad,Estado,C.P., TARIFA 0 , TARIFA 1 , TARIFA 2 , TARIFA 3 , TARIFA 4 , TARIFA 5 , TARIFA 6 ,TARIMA 1,TARIMA 2
ACAMBAY DE RUIZ CASTAÑEDA,Mexico,50300–50374,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
TOLUCA,México,50000–50293,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
AYALA,Morelos,62700–62719,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
CUERNAVACA,Morelos,62000–62499,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
TULA DE ALLENDE,Hidalgo,42800–42849,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
PACHUCA,México,42000–42088,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
TEPEJI DEL RIO,Queretaro,42850–42859,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
APIZACO,Tlaxcala,90300–90499,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
TLAXCALA,Tlaxcala,90000–90399,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
PUEBLA,Puebla,72000–72599,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
SAN JUAN DEL RIO,Queretaro,76800–76849,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
TAXCO,Guerrero,40200–40399,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
IGUALA,Guerrero,40000–40199,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
IXTAPALUCA,México,56530–56887,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
MEXICO,México,01000–16999,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
QUERETARO,Queretaro,76000–76199,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
MORELIA,Michoacan,58000–58199,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
CELAYA,Guanajuato,38000–38149,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
POZA RICA,Veracruz,93200–93319,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
SAN MIGUEL DE ALLENDE,Guanajuato,37700–37899,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
CHILPANCINGO,Guerrero,39000–39199,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
TUXPAN,Veracruz,92800–92899,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
CORDOBA,Veracruz,94500–94999,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
HEROICA CIUDAD DE HUAJUAPAN DE LEON,Oaxaca,69000–69009,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
TEHUACAN,Puebla,75700–75920,$110.20,$121.80,$139.20,$185.60,$197.20,$255.20,$301.60,"$2,320.00","$1,972.00"
